Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Month,DayOfWeek,Quarter,IsWeekend,Profit_Margin,Revenue_Per_Unit,Retailer_enc,Region_enc,State_enc,City_enc,Product_enc,Target
Sports Direct,1197831,2021-03-27,South,Tennessee,Knoxville,Women's Apparel,25.0,145,363,221,Outlet,3,5,1,1,60.88,2.5,3,2,41,25,3,2
West Gear,1128299,2021-11-24,West,Oregon,Portland,Men's Apparel,50.0,145,725,334,Outlet,11,2,4,0,46.07,5.0,5,4,36,42,0,2
Foot Locker,1128299,2021-01-23,West,Idaho,Boise,Women's Street Footwear,31.0,145,450,175,Outlet,1,5,1,1,38.89,3.1,1,4,11,7,5,2
Foot Locker,1128299,2021-07-22,West,Arizona,Phoenix,Men's Apparel,40.0,145,580,215,Outlet,7,3,3,0,37.07,4.0,1,4,2,41,0,2
Foot Locker,1128299,2021-07-22,West,Arizona,Phoenix,Women's Apparel,46.0,145,667,200,Outlet,7,3,3,0,29.99,4.6,1,4,2,41,3,2
Foot Locker,1128299,2021-09-24,West,Arizona,Phoenix,Women's Street Footwear,34.0,145,493,182,Outlet,9,4,3,0,36.92,3.4,1,4,2,41,5,2
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Women's Athletic Footwear,37.0,145,537,220,Outlet,9,0,3,0,40.97,3.7,2,4,30,1,4,2
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Men's Apparel,40.0,145,580,203,Outlet,9,0,3,0,35.0,4.0,2,4,30,1,0,2
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Women's Street Footwear,40.0,145,580,226,Outlet,5,4,2,0,38.97,4.0,3,3,9,3,5,2
Sports Direct,1128299,2021-11-13,Southeast,Georgia,Atlanta,Women's Street Footwear,39.0,145,566,226,Outlet,11,5,4,1,39.93,3.9,3,3,9,3,5,2
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,15.0,145,218,102,Outlet,9,3,3,0,46.79,1.5,4,2,23,24,5,2
Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,16.0,145,232,97,Outlet,2,6,1,1,41.81,1.6,4,2,3,27,3,2
Walmart,1197831,2021-05-19,South,Arkansas,Little Rock,Women's Apparel,33.0,145,479,225,Outlet,5,2,2,0,46.97,3.3,4,2,3,27,3,2
Amazon,1185732,2021-07-10,Northeast,Vermont,Burlington,Men's Athletic Footwear,42.0,145,609,305,Outlet,7,5,3,1,50.08,4.2,0,1,44,9,1,2
Amazon,1185732,2021-12-10,Northeast,Vermont,Burlington,Women's Apparel,60.0,145,870,409,Outlet,12,4,4,0,47.01,6.0,0,1,44,9,3,2
Amazon,1185732,2021-08-18,Northeast,New Hampshire,Manchester,Women's Apparel,46.0,145,667,247,Outlet,8,2,3,0,37.03,4.6,0,1,28,30,3,2
Foot Locker,1185732,2021-06-12,Midwest,Illinois,Chicago,Men's Street Footwear,47.0,144,677,372,Online,6,5,2,1,54.95,4.7,1,0,12,13,2,1
Sports Direct,1197831,2021-10-06,South,Texas,Dallas,Women's Street Footwear,41.0,144,590,307,Online,10,2,4,0,52.03,4.1,3,2,42,15,5,1
West Gear,1128299,2020-04-15,West,Colorado,Denver,Men's Athletic Footwear,59.0,144,850,425,Online,4,2,2,0,50.0,5.9,5,4,5,16,1,1
West Gear,1128299,2020-07-05,West,Washington,Seattle,Men's Apparel,77.0,144,1109,388,Online,7,6,3,1,34.99,7.7,5,4,46,47,0,1
Sports Direct,1197831,2021-09-19,South,Alabama,Birmingham,Men's Athletic Footwear,50.0,144,720,454,Online,9,6,3,1,63.06,5.0,3,2,0,6,1,1
Sports Direct,1197831,2021-10-02,South,Alabama,Birmingham,Women's Street Footwear,43.0,144,619,396,Online,10,5,4,1,63.97,4.3,3,2,0,6,5,1
Amazon,1185732,2021-11-05,Northeast,Maine,Portland,Men's Street Footwear,52.0,144,749,337,Online,11,4,4,0,44.99,5.2,0,1,18,42,2,1
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Athletic Footwear,59.0,144,850,323,Online,10,6,4,1,38.0,5.9,4,3,8,39,1,1
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Women's Athletic Footwear,49.0,144,706,289,Online,6,3,2,0,40.93,4.9,5,1,31,0,4,1
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Athletic Footwear,47.0,144,677,271,Online,11,1,4,0,40.03,4.7,5,1,31,0,4,1
Sports Direct,1185732,2021-08-16,Midwest,Michigan,Detroit,Women's Street Footwear,42.0,144,605,254,Online,8,0,3,0,41.98,4.2,3,0,21,18,5,1
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Men's Street Footwear,33.0,144,475,247,Online,4,6,2,1,52.0,3.3,1,0,24,49,2,1
Foot Locker,1185732,2021-03-05,Southeast,South Carolina,Charleston,Women's Athletic Footwear,27.0,144,389,163,Online,3,4,1,0,41.9,2.7,1,3,39,10,4,1
Sports Direct,1185732,2021-04-03,Southeast,North Carolina,Charlotte,Women's Street Footwear,20.0,144,288,158,Online,4,5,2,1,54.86,2.0,3,3,32,11,5,1
Sports Direct,1185732,2021-12-16,South,Mississippi,Jackson,Women's Apparel,71.0,144,1022,624,Online,12,3,4,0,61.06,7.1,3,2,23,24,3,1
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Men's Street Footwear,37.0,144,533,266,Online,6,0,2,0,49.91,3.7,2,0,15,50,2,1
Foot Locker,1185732,2021-02-15,Northeast,Maryland,Baltimore,Men's Street Footwear,39.0,144,562,281,Online,2,0,1,0,50.0,3.9,1,1,19,4,2,1
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Men's Street Footwear,32.0,144,461,212,Online,3,5,1,1,45.99,3.2,2,1,29,36,2,1
West Gear,1128299,2020-02-21,West,Nevada,Las Vegas,Women's Street Footwear,46.0,144,662,272,Outlet,2,4,1,0,41.09,4.6,5,4,27,26,5,2
Sports Direct,1197831,2021-08-12,South,Alabama,Birmingham,Women's Apparel,27.0,144,389,222,Outlet,8,3,3,0,57.07,2.7,3,2,0,6,3,2
Sports Direct,1197831,2021-08-15,South,Alabama,Birmingham,Women's Street Footwear,20.0,144,288,147,Outlet,8,6,3,1,51.04,2.0,3,2,0,6,5,2
Foot Locker,1128299,2021-11-24,Southeast,Virginia,Richmond,Women's Athletic Footwear,36.0,144,518,202,Outlet,11,2,4,0,39.0,3.6,1,3,45,44,4,2
Foot Locker,1185732,2021-12-17,Northeast,New Hampshire,Manchester,Women's Apparel,61.0,144,878,351,Outlet,12,4,4,0,39.98,6.1,1,1,28,30,3,2
Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,62.0,143,887,532,Online,12,3,4,0,59.98,6.2,1,1,37,40,2,1
West Gear,1128299,2020-01-20,West,Nevada,Las Vegas,Men's Street Footwear,58.0,143,829,423,Online,1,0,1,0,51.03,5.8,5,4,27,26,2,1
West Gear,1128299,2020-02-09,West,Nevada,Las Vegas,Women's Street Footwear,61.0,143,872,462,Online,2,6,1,1,52.98,6.1,5,4,27,26,5,1
West Gear,1128299,2020-04-23,West,Colorado,Denver,Women's Athletic Footwear,61.0,143,872,454,Online,4,3,2,0,52.06,6.1,5,4,5,16,4,1
West Gear,1128299,2020-04-28,West,Colorado,Denver,Women's Street Footwear,67.0,143,958,546,Online,4,1,2,0,56.99,6.7,5,4,5,16,5,1
Kohl's,1189833,2021-02-04,Midwest,Montana,Billings,Women's Street Footwear,44.0,143,629,371,Online,2,3,1,0,58.98,4.4,2,0,25,5,5,1
Kohl's,1189833,2021-02-07,Midwest,Montana,Billings,Women's Apparel,58.0,143,829,290,Online,2,6,1,1,34.98,5.8,2,0,25,5,3,1
Kohl's,1189833,2021-03-07,Midwest,Montana,Billings,Women's Athletic Footwear,43.0,143,615,314,Online,3,6,1,1,51.06,4.3,2,0,25,5,4,1
Sports Direct,1197831,2021-09-29,South,Alabama,Birmingham,Women's Apparel,36.0,143,515,386,Online,9,2,3,0,74.95,3.6,3,2,0,6,3,1
Sports Direct,1197831,2021-10-09,South,Alabama,Birmingham,Women's Athletic Footwear,63.0,143,901,676,Online,10,5,4,1,75.03,6.3,3,2,0,6,4,1
Amazon,1185732,2021-11-17,Northeast,Maine,Portland,Men's Street Footwear,51.0,143,729,357,Online,11,2,4,0,48.97,5.1,0,1,18,42,2,1
Foot Locker,1128299,2021-02-10,West,Alaska,Anchorage,Men's Street Footwear,33.0,143,472,170,Online,2,2,1,0,36.02,3.3,1,4,1,2,2,1
Foot Locker,1128299,2021-05-11,West,Hawaii,Honolulu,Women's Apparel,69.0,143,987,543,Online,5,1,2,0,55.02,6.9,1,4,10,21,3,1
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Athletic Footwear,77.0,143,1101,462,Online,8,1,3,0,41.96,7.7,4,3,8,39,4,1
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Men's Apparel,74.0,143,1058,328,Online,8,1,3,0,31.0,7.4,4,3,8,39,0,1
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Women's Street Footwear,29.0,143,415,203,Online,2,4,1,0,48.92,2.9,2,1,31,0,5,1
Kohl's,1185732,2021-08-11,West,Wyoming,Cheyenne,Women's Street Footwear,38.0,143,543,245,Online,8,2,3,0,45.12,3.8,2,4,49,12,5,1
Kohl's,1185732,2021-11-11,West,Wyoming,Cheyenne,Men's Apparel,51.0,143,729,299,Online,11,3,4,0,41.02,5.1,2,4,49,12,0,1
Foot Locker,1128299,2021-03-23,Southeast,Virginia,Richmond,Men's Street Footwear,38.0,143,543,255,Online,3,1,1,0,46.96,3.8,1,3,45,44,2,1
Sports Direct,1185732,2021-03-15,Midwest,Michigan,Detroit,Women's Apparel,33.0,143,472,326,Online,3,0,1,0,69.07,3.3,3,0,21,18,3,1
Sports Direct,1185732,2021-07-15,Midwest,Michigan,Detroit,Men's Apparel,54.0,143,772,394,Online,7,3,3,0,51.04,5.4,3,0,21,18,0,1
Foot Locker,1185732,2021-12-15,Midwest,Michigan,Detroit,Men's Apparel,55.0,143,787,409,Online,12,2,4,0,51.97,5.5,1,0,21,18,0,1
Foot Locker,1185732,2021-08-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,38.0,143,543,250,Online,8,2,3,0,46.04,3.8,1,0,24,49,1,1
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,14.0,143,200,94,Online,1,0,1,0,47.0,1.4,5,0,24,49,5,1
West Gear,1128299,2021-12-23,West,Oregon,Portland,Women's Athletic Footwear,67.0,143,958,431,Online,12,3,4,0,44.99,6.7,5,4,36,42,4,1
West Gear,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Apparel,34.0,143,486,292,Online,1,1,1,0,60.08,3.4,5,2,17,34,3,1
West Gear,1197831,2021-06-04,West,Idaho,Boise,Women's Athletic Footwear,48.0,143,686,405,Online,6,4,2,0,59.04,4.8,5,4,11,7,4,1
Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Men's Street Footwear,29.0,143,415,207,Online,2,1,1,0,49.88,2.9,1,4,11,7,2,1
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Women's Athletic Footwear,55.0,143,787,370,Online,8,3,3,0,47.01,5.5,2,4,30,1,4,1
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Women's Street Footwear,46.0,143,658,309,Online,9,0,3,0,46.96,4.6,2,4,30,1,5,1
Sports Direct,1128299,2021-07-12,Southeast,Georgia,Atlanta,Women's Apparel,67.0,143,958,364,Online,7,0,3,0,38.0,6.7,3,3,9,3,3,1
Amazon,1185732,2021-02-11,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,33.0,143,472,236,Online,2,3,1,0,50.0,3.3,0,3,32,11,1,1
Amazon,1185732,2021-02-11,Midwest,Ohio,Columbus,Women's Apparel,29.0,143,415,253,Online,2,3,1,0,60.96,2.9,0,0,34,14,3,1
Amazon,1185732,2021-05-09,Midwest,Ohio,Columbus,Women's Street Footwear,39.0,143,558,284,Online,5,6,2,1,50.9,3.9,0,0,34,14,5,1
Amazon,1185732,2021-05-09,Midwest,Ohio,Columbus,Women's Apparel,53.0,143,758,485,Online,5,6,2,1,63.98,5.3,0,0,34,14,3,1
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Women's Street Footwear,41.0,143,586,322,Online,6,4,2,0,54.95,4.1,1,2,23,24,5,1
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Apparel,50.0,143,715,372,Online,8,4,3,0,52.03,5.0,4,2,3,27,3,1
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Street Footwear,24.0,143,343,172,Online,11,5,4,1,50.15,2.4,5,2,3,27,2,1
Kohl's,1197831,2021-05-12,Midwest,Kansas,Wichita,Men's Street Footwear,36.0,143,515,232,Online,5,2,2,0,45.05,3.6,2,0,15,50,2,1
West Gear,1185732,2021-09-04,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,33.0,143,472,193,Online,9,5,3,1,40.89,3.3,5,0,48,32,2,1
West Gear,1185732,2021-04-17,Northeast,West Virginia,Charleston,Men's Street Footwear,27.0,143,386,197,Online,4,5,2,1,51.04,2.7,5,1,47,10,2,1
Sports Direct,1185732,2021-07-03,Northeast,Connecticut,Hartford,Women's Apparel,56.0,143,801,384,Online,7,5,3,1,47.94,5.6,3,1,6,20,3,1
Foot Locker,1185732,2021-08-07,Northeast,Rhode Island,Providence,Men's Street Footwear,46.0,143,658,316,Online,8,5,3,1,48.02,4.6,1,1,38,43,2,1
Sports Direct,1197831,2021-08-19,South,Texas,Dallas,Women's Street Footwear,27.0,143,386,135,Outlet,8,3,3,0,34.97,2.7,3,2,42,15,5,2
Foot Locker,1185732,2021-12-27,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,53.0,143,758,462,Outlet,12,0,4,0,60.95,5.3,1,1,37,40,2,2
Sports Direct,1197831,2021-03-21,South,Tennessee,Knoxville,Women's Apparel,28.0,143,400,224,Outlet,3,6,1,1,56.0,2.8,3,2,41,25,3,2
Sports Direct,1197831,2021-04-25,South,Tennessee,Knoxville,Men's Apparel,35.0,143,501,225,Outlet,4,6,2,1,44.91,3.5,3,2,41,25,0,2
Foot Locker,1128299,2021-11-24,Southeast,Virginia,Richmond,Women's Street Footwear,33.0,143,472,184,Outlet,11,2,4,0,38.98,3.3,1,3,45,44,5,2
West Gear,1128299,2021-03-23,West,Oregon,Portland,Men's Street Footwear,28.0,143,400,160,Outlet,3,1,1,0,40.0,2.8,5,4,36,42,2,2
West Gear,1128299,2021-08-17,South,Louisiana,New Orleans,Women's Athletic Footwear,55.0,143,787,370,Outlet,8,1,3,0,47.01,5.5,5,2,17,34,4,2
Foot Locker,1128299,2021-06-23,West,Arizona,Phoenix,Men's Athletic Footwear,36.0,143,515,216,Outlet,6,2,2,0,41.94,3.6,1,4,2,41,1,2
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Athletic Footwear,40.0,143,572,246,Outlet,12,6,4,1,43.01,4.0,1,3,9,3,4,2
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Athletic Footwear,33.0,143,472,203,Outlet,7,4,3,0,43.01,3.3,4,2,23,24,4,2
Sports Direct,1185732,2021-12-16,South,Mississippi,Jackson,Women's Athletic Footwear,41.0,143,586,276,Outlet,12,3,4,0,47.1,4.1,3,2,23,24,4,2
West Gear,1197831,2021-06-21,South,Oklahoma,Oklahoma City,Women's Apparel,40.0,143,572,240,Outlet,6,0,2,0,41.96,4.0,5,2,35,37,3,2
Sports Direct,1197831,2021-09-26,South,Texas,Dallas,Men's Apparel,53.0,142,753,361,Online,9,6,3,1,47.94,5.3,3,2,42,15,0,1
Sports Direct,1197831,2021-04-06,South,Tennessee,Knoxville,Women's Athletic Footwear,27.0,142,383,230,Online,4,1,2,0,60.05,2.7,3,2,41,25,4,1
Foot Locker,1128299,2021-08-10,West,Hawaii,Honolulu,Women's Athletic Footwear,67.0,142,951,362,Online,8,1,3,0,38.07,6.7,1,4,10,21,4,1
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Women's Apparel,89.0,142,1264,632,Online,12,3,4,0,50.0,8.9,3,4,10,21,3,1
Foot Locker,1128299,2021-06-24,Southeast,Virginia,Richmond,Women's Athletic Footwear,72.0,142,1022,501,Online,6,3,2,0,49.02,7.2,1,3,45,44,4,1
Foot Locker,1128299,2021-10-24,Southeast,Virginia,Richmond,Men's Athletic Footwear,51.0,142,724,355,Online,10,6,4,1,49.03,5.1,1,3,45,44,1,1
Sports Direct,1185732,2021-08-16,Midwest,Michigan,Detroit,Women's Athletic Footwear,34.0,142,483,217,Online,8,0,3,0,44.93,3.4,3,0,21,18,4,1
Foot Locker,1185732,2021-06-18,Midwest,Missouri,St. Louis,Women's Apparel,42.0,142,596,388,Online,6,4,2,0,65.1,4.2,1,0,24,49,3,1
West Gear,1128299,2021-10-24,West,Oregon,Portland,Men's Athletic Footwear,50.0,142,710,327,Online,10,6,4,1,46.06,5.0,5,4,36,42,1,1
West Gear,1128299,2021-04-17,South,Louisiana,New Orleans,Men's Street Footwear,48.0,142,682,354,Online,4,5,2,1,51.91,4.8,5,2,17,34,2,1
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Women's Apparel,42.0,142,596,394,Online,10,0,4,0,66.11,4.2,3,4,11,7,3,1
Foot Locker,1197831,2021-12-04,West,Idaho,Boise,Women's Athletic Footwear,59.0,142,838,545,Online,12,5,4,1,65.04,5.9,1,4,11,7,4,1
Foot Locker,1128299,2021-07-22,West,Arizona,Phoenix,Men's Athletic Footwear,50.0,142,710,362,Online,7,3,3,0,50.99,5.0,1,4,2,41,1,1
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Women's Street Footwear,58.0,142,824,379,Online,8,3,3,0,46.0,5.8,2,4,30,1,5,1
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Men's Street Footwear,45.0,142,639,326,Online,4,1,2,0,51.02,4.5,3,3,9,3,2,1
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Women's Street Footwear,52.0,142,738,354,Online,6,6,2,1,47.97,5.2,3,3,9,3,5,1
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,47.0,142,667,347,Online,10,2,4,0,52.02,4.7,3,3,9,3,1,1
Sports Direct,1185732,2021-02-04,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,29.0,142,412,206,Online,2,3,1,0,50.0,2.9,3,3,32,11,4,1
Amazon,1185732,2021-06-11,Midwest,Ohio,Columbus,Women's Street Footwear,49.0,142,696,376,Online,6,4,2,0,54.02,4.9,0,0,34,14,5,1
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Men's Apparel,68.0,142,966,473,Online,12,3,4,0,48.96,6.8,5,0,34,14,0,1
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Men's Street Footwear,36.0,142,511,256,Online,6,1,2,0,50.1,3.6,0,3,16,29,2,1
Foot Locker,1185732,2021-01-20,Southeast,Kentucky,Louisville,Men's Athletic Footwear,29.0,142,412,185,Online,1,2,1,0,44.9,2.9,1,3,16,29,1,1
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Street Footwear,48.0,142,682,341,Online,7,4,3,0,50.0,4.8,4,2,23,24,5,1
West Gear,1197831,2021-07-19,South,Oklahoma,Oklahoma City,Women's Apparel,61.0,142,866,468,Online,7,0,3,0,54.04,6.1,5,2,35,37,3,1
Foot Locker,1185732,2021-09-13,Northeast,Delaware,Wilmington,Men's Street Footwear,50.0,142,710,348,Online,9,0,3,0,49.01,5.0,1,1,7,51,2,1
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Men's Street Footwear,54.0,142,767,391,Online,5,0,2,0,50.98,5.4,3,1,6,20,2,1
Amazon,1185732,2021-03-10,Northeast,Vermont,Burlington,Men's Street Footwear,44.0,142,625,375,Online,3,2,1,0,60.0,4.4,0,1,44,9,2,1
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,19.0,141,268,110,Online,3,1,1,0,41.04,1.9,5,0,48,32,2,1
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,50.0,140,700,427,Online,11,2,4,0,61.0,5.0,5,4,4,46,0,1
Sports Direct,1197831,2021-08-22,South,Texas,Dallas,Women's Apparel,32.0,140,448,251,Online,8,6,3,1,56.03,3.2,3,2,42,15,3,1
West Gear,1128299,2020-04-30,West,Colorado,Denver,Men's Apparel,74.0,140,1036,756,Online,4,3,2,0,72.97,7.4,5,4,5,16,0,1
Sports Direct,1197831,2021-05-19,South,Tennessee,Knoxville,Men's Apparel,50.0,140,700,350,Online,5,2,2,0,50.0,5.0,3,2,41,25,0,1
Amazon,1185732,2021-10-18,Northeast,Maine,Portland,Men's Street Footwear,38.0,140,532,261,Online,10,0,4,0,49.06,3.8,0,1,18,42,2,1
Walmart,1128299,2021-11-10,West,Hawaii,Honolulu,Women's Apparel,82.0,140,1148,597,Online,11,2,4,0,52.0,8.2,4,4,10,21,3,1
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Street Footwear,58.0,140,812,325,Online,9,5,3,1,40.02,5.8,4,3,8,39,2,1
Kohl's,1185732,2021-04-11,West,Wyoming,Cheyenne,Men's Athletic Footwear,39.0,140,546,246,Online,4,6,2,1,45.05,3.9,2,4,49,12,1,1
Kohl's,1185732,2021-06-12,West,Wyoming,Cheyenne,Women's Athletic Footwear,38.0,140,532,250,Online,6,5,2,1,46.99,3.8,2,4,49,12,4,1
Kohl's,1185732,2021-08-11,West,Wyoming,Cheyenne,Men's Apparel,47.0,140,658,270,Online,8,2,3,0,41.03,4.7,2,4,49,12,0,1
West Gear,1128299,2021-02-17,West,Oregon,Portland,Men's Street Footwear,33.0,140,462,245,Online,2,2,1,0,53.03,3.3,5,4,36,42,2,1
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Women's Apparel,69.0,140,966,367,Online,7,6,3,1,37.99,6.9,2,4,30,1,3,1
Kohl's,1128299,2021-11-26,West,New Mexico,Albuquerque,Women's Apparel,72.0,140,1008,393,Online,11,4,4,0,38.99,7.2,2,4,30,1,3,1
Sports Direct,1185732,2021-04-03,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,24.0,140,336,181,Online,4,5,2,1,53.87,2.4,3,3,32,11,4,1
Amazon,1185732,2021-06-11,Midwest,Ohio,Columbus,Women's Athletic Footwear,49.0,140,686,350,Online,6,4,2,0,51.02,4.9,0,0,34,14,4,1
Amazon,1185732,2021-11-10,Midwest,Ohio,Columbus,Men's Athletic Footwear,24.0,140,336,151,Online,11,2,4,0,44.94,2.4,0,0,34,14,1,1
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Women's Apparel,47.0,140,658,421,Online,5,6,2,1,63.98,4.7,1,2,23,24,3,1
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Men's Athletic Footwear,54.0,140,756,355,Online,12,6,4,1,46.96,5.4,5,2,3,27,1,1
Kohl's,1197831,2021-07-12,Midwest,Kansas,Wichita,Women's Apparel,60.0,140,840,412,Online,7,0,3,0,49.05,6.0,2,0,15,50,3,1
Sports Direct,1185732,2021-12-11,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,58.0,140,812,374,Online,12,5,4,1,46.06,5.8,3,0,40,48,2,1
West Gear,1185732,2021-02-03,Midwest,Iowa,Des Moines,Men's Street Footwear,29.0,140,406,166,Online,2,2,1,0,40.89,2.9,5,0,14,17,2,1
West Gear,1185732,2021-01-10,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,32.0,140,448,233,Online,1,6,1,1,52.01,3.2,5,0,48,32,2,1
Sports Direct,1185732,2021-02-15,Northeast,Rhode Island,Providence,Men's Street Footwear,36.0,140,504,207,Online,2,0,1,0,41.07,3.6,3,1,38,43,2,1
Kohl's,1189833,2021-03-17,West,California,Los Angeles,Men's Apparel,40.0,140,560,319,Outlet,3,2,1,0,56.96,4.0,2,4,4,28,0,2
Kohl's,1189833,2021-04-17,West,California,Los Angeles,Men's Apparel,38.0,140,532,314,Outlet,4,5,2,1,59.02,3.8,2,4,4,28,0,2
Sports Direct,1197831,2021-08-26,South,Texas,Dallas,Women's Athletic Footwear,26.0,140,364,171,Outlet,8,3,3,0,46.98,2.6,3,2,42,15,4,2
Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35.0,140,490,279,Outlet,11,1,4,0,56.94,3.5,1,1,37,40,2,2
West Gear,1128299,2020-01-04,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,36.0,140,504,237,Outlet,1,5,1,1,47.02,3.6,5,1,37,40,5,2
West Gear,1128299,2020-01-10,West,Nevada,Las Vegas,Women's Street Footwear,31.0,140,434,187,Outlet,1,4,1,0,43.09,3.1,5,4,27,26,5,2
West Gear,1128299,2020-01-13,West,Nevada,Las Vegas,Women's Apparel,31.0,140,434,100,Outlet,1,0,1,0,23.04,3.1,5,4,27,26,3,2
West Gear,1128299,2020-01-31,West,Nevada,Las Vegas,Women's Apparel,54.0,140,756,242,Outlet,1,4,1,0,32.01,5.4,5,4,27,26,3,2
West Gear,1128299,2020-02-10,West,Nevada,Las Vegas,Women's Athletic Footwear,46.0,140,644,270,Outlet,2,0,1,0,41.93,4.6,5,4,27,26,4,2
West Gear,1128299,2020-02-24,West,Nevada,Las Vegas,Women's Apparel,54.0,140,756,159,Outlet,2,0,1,0,21.03,5.4,5,4,27,26,3,2
West Gear,1128299,2020-03-05,West,Nevada,Las Vegas,Women's Street Footwear,44.0,140,616,259,Outlet,3,3,1,0,42.05,4.4,5,4,27,26,5,2
Sports Direct,1197831,2021-03-18,South,Tennessee,Knoxville,Women's Street Footwear,23.0,140,322,126,Outlet,3,3,1,0,39.13,2.3,3,2,41,25,5,2
Sports Direct,1197831,2021-05-13,South,Tennessee,Knoxville,Men's Apparel,43.0,140,602,277,Outlet,5,3,2,0,46.01,4.3,3,2,41,25,0,2
Foot Locker,1185732,2021-05-21,South,Tennessee,Knoxville,Men's Street Footwear,27.0,140,378,166,Outlet,5,4,2,0,43.92,2.7,1,2,41,25,2,2
Sports Direct,1197831,2021-09-15,South,Alabama,Birmingham,Women's Athletic Footwear,37.0,140,518,332,Outlet,9,2,3,0,64.09,3.7,3,2,0,6,4,2
Sports Direct,1197831,2021-09-16,South,Alabama,Birmingham,Men's Apparel,42.0,140,588,294,Outlet,9,3,3,0,50.0,4.2,3,2,0,6,0,2
Amazon,1185732,2021-10-12,South,Alabama,Birmingham,Men's Street Footwear,27.0,140,378,147,Outlet,10,1,4,0,38.89,2.7,0,2,0,6,2,2
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Men's Street Footwear,39.0,140,546,202,Outlet,10,6,4,1,37.0,3.9,4,3,8,39,2,2
Walmart,1128299,2021-10-17,Southeast,Florida,Orlando,Women's Apparel,53.0,140,742,386,Outlet,10,6,4,1,52.02,5.3,4,3,8,39,3,2
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Men's Apparel,30.0,140,420,189,Outlet,1,1,1,0,45.0,3.0,3,3,45,44,0,2
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,16.0,140,224,87,Outlet,3,2,1,0,38.84,1.6,5,4,43,45,5,2
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Apparel,21.0,140,294,168,Outlet,3,2,1,0,57.14,2.1,5,4,43,45,3,2
